,title,href,about
0,"Middle Data, Product Analyst, вакансія від 27 серпня 2025",https://www.work.ua/jobs/6785923/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Привіт! Ми — продуктова українська компанія Work.ua. Щомісяця 4 мільйони українців вибирають наш сайт, щоб знаходити роботу або співробітників. Сотні тисяч користувачів відвідують сайт за допомогою мобільного застосунку…"
1,"Middle Data, Product Analyst, вакансія від 27 серпня 2025",https://www.work.ua/jobs/6785926/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Привіт! Ми — продуктова українська компанія Work.ua. Щомісяця 4 мільйони українців вибирають наш сайт, щоб знаходити роботу або співробітників. Сотні тисяч користувачів відвідують сайт за допомогою мобільного застосунку…"
2,"Аналітик SQL, вакансія від 22 серпня 2025",https://www.work.ua/jobs/4310169/,"Повна зайнятість. Досвід роботи від 1 року. Вища освіта.
                            Опис вакансіїДавай трохи про нас! Ми «Є-ГРОШІ», і ми стрімко розвиваємось з 2018 року, та не збавляємо обертів, а навпаки! Отримали вже декілька нагород від FinAwards! До речі з ними ти можеш ознайомитись на нашому…"
3,"Аналітик, вакансія від 22 серпня 2025",https://www.work.ua/jobs/6993502/,"Повна зайнятість. Вища освіта.
                            Компанія АТБ-маркет запрошує на роботу аналітика. Обов’язки:   Збір та обробка статистичної інформації з продажу;   Підготовка аналітичних звітів (з обов’язковим знанням аналітичних функцій ВПР або ІНДЕКС, зчіпка…"
4,"Аналітик 1С, вакансія від 28 серпня 2025",https://www.work.ua/jobs/5123740/,"Повна зайнятість. Досвід роботи від 1 року.
                            Компанія «АКВА РОДОС» — провідний виробник меблів та сантехніки в Україні. Наша компанія орієнтована на постійний розвиток та вдосконалення своїх продуктів та послуг, що дозволяє нам бути лідерами на ринку. Зараз…"
5,"Аналітик-дослідник (технологічний сектор), вакансія від 28 серпня 2025",https://www.work.ua/jobs/6437749/,"Повна зайнятість. Досвід роботи від 5 років. Вища освіта.
                            Про Diia.City United: Diia.City United — це бізнес-спілка продуктових технологічних компаній — резидентів Дія.City. Ми об'єднуємо лідерів технологічної індустрії України та сприяємо розвитку інноваційного середовища…"
6,"Бізнес-аналітик, вакансія від 28 серпня 2025",https://www.work.ua/jobs/5876341/,"Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 1 року.
                            Ми шукаємо бізнес аналітика до закупівельної агенції при Міністерстві оборони України. Якщо ви поділяєте наші цінності та маєте бажання робити процес забезпечення війська більш ефективним, доброчесним та підзвітним —…"
7,"Бізнес-аналітик, вакансія від 28 серпня 2025",https://www.work.ua/jobs/7064041/,"Повна зайнятість. Досвід роботи від 1 року.
                            У ці не прості часи, ми, працівники Галицької Свіжини, намагаємося максимально підтримувати продовольчу безпеку України та забезпечити потреби у безперебійному постачанні м’яса у наші магазини. ТМ «Галицька Свіжина»…"
8,"Аналітик відділу продажу, вакансія від 28 серпня 2025",https://www.work.ua/jobs/5409229/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Компанія ІNSPE понад 25 років на ринку забезпечує повний спектр рішень для стоматологічних клінік: від проектування до оснащення обладнанням, інструментами та матеріалами. Ми пишаємось тим, що бренд INSPE незмінно…"
9,"Аналітик-економіст (виробництво), вакансія від 28 серпня 2025",https://www.work.ua/jobs/6905155/,"Повна зайнятість. Досвід роботи від 2 років. Вища освіта.
                            Група компаній Ukrlandfarming один із найбільших в Україні вертикально інтегрований агро холдинг, який є лідером в більшості напрямків агробізнесу. Ми за ефективний і безпечний цикл виробництва і забезпечуємо добробут…"
10,"Фінансовий аналітик, вакансія від 28 серпня 2025",https://www.work.ua/jobs/5762441/,"Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 2 років. Вища освіта.
                            Міжнародна компанія «ОТІС», що займається продажем, виготовленням, монтажем, обслуговуванням ліфтового обладнання, ескалаторів та траволаторів, оголошує відкриття конкурсу на посаду Фінансовий аналітик. Основні…"
11,"Аналітик (закупівлі), вакансія від 28 серпня 2025",https://www.work.ua/jobs/7036495/,"Повна зайнятість. Досвід роботи від 1 року.
                            Важливо щоб ви мали:   Аналітичний склад розуму   Володіння Excel на середньому рівні (формули, ВПР, зведені таблиці)   Обов'язки:   Взаємодія з постачальником та складом   Формування звітності   Що ми пропонуємо:…"
12,"Фінансовий аналітик (FP&A), вакансія від 28 серпня 2025",https://www.work.ua/jobs/6919855/,"Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року. Вища освіта.
                            Логістика Fozzy Group — це команда, що створює інноваційні логістичні рішення, використовуючи сучасні технології, автоматизацію і дані Наразі шукаємо Менеджера з бюджетування та звітності Які будуть майбутні обов’язки?…"
13,"Аналітик управління базами даних, вакансія від 28 серпня 2025",https://www.work.ua/jobs/5098219/,"Повна зайнятість. Також готові взяти студента. Досвід роботи від 1 року.
                            Компанія «Дальнобой» — лідер на ринку продажу та сервісу вантажних шин, що об'єднує 13 сервісних центрів та офісів продажу. Ми реалізуємо високоякісні та сертифіковані шини майже всіх провідних міжнародних брендів…"
