Рік,Викиди,НаДушу
1970,15750720652.0,4.26
1971,15682550812.0,4.15
1972,16478735506.0,4.28
1973,17461301237.0,4.45
1974,17397837499.0,4.35
1975,17327699265.0,4.25
1976,18315359106.0,4.41
1977,18869880184.0,4.46
1978,19479851141.0,4.53
1979,20018700426.0,4.57
1980,19772848598.0,4.44
1981,19402190315.0,4.28
1982,19156959542.0,4.15
1983,19302601175.0,4.11
1984,19921949856.0,4.16
1985,20181526621.0,4.14
1986,20540482751.0,4.14
1987,21199385093.0,4.19
1988,21958155737.0,4.27
1989,22343102961.0,4.26
1990,22660079364.0,4.25
1991,22794864895.0,4.21
1992,22714986482.0,4.13
1993,22808325417.0,4.08
1994,23039384854.0,4.06
1995,23682286016.0,4.12
1996,24149129927.0,4.14
1997,24598717494.0,4.16
1998,24756505864.0,4.13
1999,24939984300.0,4.11
2000,25694728676.0,4.18
2001,26000902282.0,4.18
2002,26414844015.0,4.19
2003,27642403405.0,4.33
2004,28926371610.0,4.48
2005,30015938144.0,4.59
2006,31037618590.0,4.69
2007,32207364953.0,4.8
2008,32414360515.0,4.78
2009,31966599802.0,4.65
2010,33969474314.0,4.88
2011,35036740902.0,4.98
2012,35489676343.0,4.98
2013,36177328521.0,5.02
2014,36396952687.0,4.99
2015,36292523415.0,4.92
2016,36390785270.0,4.88
2017,37020028189.0,4.9
2018,37905961547.0,4.97
2019,38008489131.0,4.93
2020,36209861637.0,4.65
2021,38219996767.0,4.85
2022,38548118943.0,4.85
2023,39112688790.0,4.87
2024,39632664219.0,4.89
