date,exchange_rate
2020-01-01,1.0334
2020-01-02,1.0292
2020-01-03,1.0283
2020-01-04,1.0285
2020-01-05,1.0296
2020-01-06,1.0328
2020-01-07,1.0324
2020-01-08,1.0274
2020-01-09,1.0276
2020-01-10,1.0279
2020-01-11,1.0283
2020-01-12,1.0274
2020-01-13,1.0301
2020-01-14,1.0341
2020-01-15,1.0376
2020-01-16,1.0362
2020-01-17,1.0331
2020-01-18,1.0338
2020-01-19,1.0328
2020-01-20,1.0326
2020-01-21,1.0322
2020-01-22,1.0335
2020-01-23,1.0312
2020-01-24,1.0296
2020-01-25,1.0296
2020-01-26,1.0311
2020-01-27,1.0308
2020-01-28,1.0276
2020-01-29,1.0275
2020-01-30,1.0314
2020-01-31,1.0381
2020-02-01,1.038
2020-02-02,1.038
2020-02-03,1.0354
2020-02-04,1.0317
2020-02-05,1.0273
2020-02-06,1.026
2020-02-07,1.0229
2020-02-08,1.0229
2020-02-09,1.0237
2020-02-10,1.0231
2020-02-11,1.0248
2020-02-12,1.0223
2020-02-13,1.0214
2020-02-14,1.0188
2020-02-15,1.0181
2020-02-16,1.0187
2020-02-17,1.0195
2020-02-18,1.017
2020-02-19,1.0165
2020-02-20,1.0164
2020-02-21,1.0223
2020-02-22,1.0223
2020-02-23,1.0216
2020-02-24,1.0209
2020-02-25,1.0247
2020-02-26,1.024
2020-02-27,1.0321
2020-02-28,1.0367
2020-02-29,1.0367
2020-03-01,1.0387
2020-03-02,1.0434
2020-03-03,1.0464
2020-03-04,1.0452
2020-03-05,1.0572
2020-03-06,1.0669
2020-03-07,1.0669
2020-03-08,1.0781
2020-03-09,1.077
2020-03-10,1.0675
2020-03-11,1.0649
2020-03-12,1.0584
2020-03-13,1.051
2020-03-14,1.051
2020-03-15,1.0565
2020-03-16,1.0552
2020-03-17,1.0419
2020-03-18,1.0343
2020-03-19,1.0114
2020-03-20,1.0141
2020-03-21,1.0139
2020-03-22,1.015
2020-03-23,1.0185
2020-03-24,1.0203
2020-03-25,1.0243
2020-03-26,1.0396
2020-03-27,1.0509
2020-03-28,1.0512
2020-03-29,1.0507
2020-03-30,1.043
2020-03-31,1.0399
2020-04-01,1.0354
2020-04-02,1.0262
2020-04-03,1.0234
2020-04-04,1.0234
2020-04-05,1.0242
2020-04-06,1.0213
2020-04-07,1.0315
2020-04-08,1.0286
2020-04-09,1.0344
2020-04-10,1.0356
2020-04-11,1.0356
2020-04-12,1.0357
2020-04-13,1.034
2020-04-14,1.0415
2020-04-15,1.0359
2020-04-16,1.032
2020-04-17,1.0347
2020-04-18,1.0337
2020-04-19,1.0333
2020-04-20,1.033
2020-04-21,1.0309
2020-04-22,1.0291
2020-04-23,1.0247
2020-04-24,1.0269
2020-04-25,1.0276
2020-04-26,1.0268
2020-04-27,1.0249
2020-04-28,1.0262
2020-04-29,1.0265
2020-04-30,1.0348
2020-05-01,1.04
2020-05-02,1.04
2020-05-03,1.0382
2020-05-04,1.0358
2020-05-05,1.0283
2020-05-06,1.0257
2020-05-07,1.0278
2020-05-08,1.0299
2020-05-09,1.0299
2020-05-10,1.0294
2020-05-11,1.0279
2020-05-12,1.0314
2020-05-13,1.0287
2020-05-14,1.0273
2020-05-15,1.0291
2020-05-16,1.0291
2020-05-17,1.029
2020-05-18,1.0294
2020-05-19,1.0295
2020-05-20,1.0363
2020-05-21,1.0303
2020-05-22,1.0297
2020-05-23,1.0298
2020-05-24,1.0292
2020-05-25,1.0292
2020-05-26,1.0357
2020-05-27,1.0328
2020-05-28,1.0369
2020-05-29,1.04
2020-05-30,1.04
2020-05-31,1.0409
2020-06-01,1.0406
2020-06-02,1.0396
2020-06-03,1.0403
2020-06-04,1.0466
2020-06-05,1.0391
2020-06-06,1.0391
2020-06-07,1.0399
2020-06-08,1.044
2020-06-09,1.052
2020-06-10,1.0605
2020-06-11,1.0594
2020-06-12,1.0502
2020-06-13,1.0502
2020-06-14,1.0503
2020-06-15,1.0538
2020-06-16,1.0514
2020-06-17,1.0539
2020-06-18,1.0511
2020-06-19,1.0501
2020-06-20,1.0501
2020-06-21,1.0503
2020-06-22,1.0561
2020-06-23,1.0585
2020-06-24,1.0546
2020-06-25,1.0547
2020-06-26,1.0551
2020-06-27,1.0551
2020-06-28,1.0551
2020-06-29,1.0515
2020-06-30,1.0558
2020-07-01,1.0573
2020-07-02,1.0577
2020-07-03,1.0575
2020-07-04,1.0575
2020-07-05,1.0579
2020-07-06,1.0615
2020-07-07,1.061
2020-07-08,1.0657
2020-07-09,1.0636
2020-07-10,1.0623
2020-07-11,1.0625
2020-07-12,1.0635
2020-07-13,1.0618
2020-07-14,1.0645
2020-07-15,1.0588
2020-07-16,1.0575
2020-07-17,1.0654
2020-07-18,1.0654
2020-07-19,1.0656
2020-07-20,1.0648
2020-07-21,1.0719
2020-07-22,1.0758
2020-07-23,1.0809
2020-07-24,1.0863
2020-07-25,1.0862
2020-07-26,1.0856
2020-07-27,1.0873
2020-07-28,1.0895
2020-07-29,1.0964
2020-07-30,1.0998
2020-07-31,1.0947
2020-08-01,1.0947
2020-08-02,1.0951
2020-08-03,1.0898
2020-08-04,1.0943
2020-08-05,1.1013
2020-08-06,1.0994
2020-08-07,1.0957
2020-08-08,1.0956
2020-08-09,1.0953
2020-08-10,1.0924
2020-08-11,1.0909
2020-08-12,1.0967
2020-08-13,1.0992
2020-08-14,1.1
2020-08-15,1.1002
2020-08-16,1.1
2020-08-17,1.1031
2020-08-18,1.1072
2020-08-19,1.0937
2020-08-20,1.102
2020-08-21,1.0975
2020-08-22,1.0975
2020-08-23,1.097
2020-08-24,1.0966
2020-08-25,1.1013
2020-08-26,1.1018
2020-08-27,1.0996
2020-08-28,1.106
2020-08-29,1.1059
2020-08-30,1.1063
2020-08-31,1.1064
2020-09-01,1.0995
2020-09-02,1.0976
2020-09-03,1.0991
2020-09-04,1.0949
2020-09-05,1.0954
2020-09-06,1.095
2020-09-07,1.0914
2020-09-08,1.089
2020-09-09,1.0964
2020-09-10,1.099
2020-09-11,1.0999
2020-09-12,1.1003
2020-09-13,1.1005
2020-09-14,1.1008
2020-09-15,1.1011
2020-09-16,1.0992
